DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
10/4/18,20417979137,QUALIFIED DIVIDEND (RBGLY),,RBGLY,,,2.4,,,,
9/4/18,20110721229,QUALIFIED DIVIDEND (V),,V,,,0.42,,,,
8/24/18,20037306318,QUALIFIED DIVIDEND (C),,C,,,0.45,,,,
7/31/18,19844369282,QUALIFIED DIVIDEND (JPM),,JPM,,,1.12,,,,
7/9/18,19709291465,Sold 1 AAPL @ 189.825,1,AAPL,189.825,6.95,182.88,,,,
6/8/18,19446409711,Sold 1 SPY @ 278.0255,1,SPY,278.0255,6.95,271.08,,,,
6/5/18,19402620618,QUALIFIED DIVIDEND (V),,V,,,0.42,,,,
5/25/18,19314411445,QUALIFIED DIVIDEND (C),,C,,,0.32,,,,
5/22/18,19296605597,ADR FEE (BABA),,BABA,,,-0.02,,,,
5/17/18,19263531067,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.73,,,,
5/10/18,19224760200,Bought 13 RBGLY @ 15.45,13,RBGLY,15.45,6.95,-207.8,,,,
4/30/18,19116591463,ORDINARY DIVIDEND (SPY),,SPY,,,1.1,,,,
4/30/18,19116287669,QUALIFIED DIVIDEND (JPM),,JPM,,,1.12,,,,
4/25/18,19094572438,Sold 1 AGN @ 155.0705,1,AGN,155.0705,6.95,148.12,,,,
4/19/18,19061833226,Bought 2 CHKP @ 103.2395,2,CHKP,103.2395,6.95,-213.43,,,,
4/19/18,19061823035,Sold 1 FB @ 166.34,1,FB,166.34,6.95,159.39,,,,
3/28/18,18874605658,QUALIFIED DIVIDEND (AGN),,AGN,,,1.44,,,,
3/6/18,18695799348,QUALIFIED DIVIDEND (V),,V,,,0.42,,,,
3/5/18,18691623705,Sold 1 AGN @ 149.4704,1,AGN,149.4704,6.95,142.52,,,,
2/15/18,18499184500,QUALIFIED DIVIDEND (AAPL),,AAPL,,,0.63,,,,
2/9/18,18471418619,Bought 1 SPY @ 254.7548,1,SPY,254.7548,6.95,-261.7,,,,
2/5/18,18431875127,Bought 1 BABA @ 180.5295,1,BABA,180.5295,6.95,-187.48,,,,
2/5/18,18431756073,Bought 1 AGN @ 169,1,AGN,169,6.95,-175.95,,,,
2/5/18,18431731664,Bought 1 C @ 74.31,1,C,74.31,6.95,-81.26,,,,
2/5/18,18431710382,Bought 1 AAPL @ 159.4958,1,AAPL,159.4958,6.95,-166.45,,,,
2/5/18,18431684933,Bought 1 BIDU @ 227.8855,1,BIDU,227.8855,6.95,-234.84,,,,
1/31/18,18378711175,QUALIFIED DIVIDEND (JPM),,JPM,,,1.12,,,,
***END OF FILE***,,,,,,,,,,,
